 Subject           Activity                                 Measurement     Mean
       1            WALKING                    TimeBodyAccelartionMeanX  0.27733
       1            WALKING                    TimeBodyAccelartionMeanY -0.01738
       1            WALKING                    TimeBodyAccelartionMeanZ -0.11115
       1            WALKING                  TimeBodyAccelartionStdDevX -0.28374
       1            WALKING                  TimeBodyAccelartionStdDevY  0.11446
       1            WALKING                  TimeBodyAccelartionStdDevZ -0.26003
       1            WALKING                 TimeGravityAccelartionMeanX  0.93522
       1            WALKING                 TimeGravityAccelartionMeanY -0.28217
       1            WALKING                 TimeGravityAccelartionMeanZ -0.06810
       1            WALKING               TimeGravityAccelartionStdDevX -0.97661
       1            WALKING               TimeGravityAccelartionStdDevY -0.97131
       1            WALKING               TimeGravityAccelartionStdDevZ -0.94772
       1            WALKING                TimeBodyAccelartionJerkMeanX  0.07404
       1            WALKING                TimeBodyAccelartionJerkMeanY  0.02827
       1            WALKING                TimeBodyAccelartionJerkMeanZ -0.00417
       1            WALKING              TimeBodyAccelartionJerkStdDevX -0.11362
       1            WALKING              TimeBodyAccelartionJerkStdDevY  0.06700
       1            WALKING              TimeBodyAccelartionJerkStdDevZ -0.50270
       1            WALKING                     TimeBodyGyroscopicMeanX -0.04183
       1            WALKING                     TimeBodyGyroscopicMeanY -0.06953
       1            WALKING                     TimeBodyGyroscopicMeanZ  0.08494
       1            WALKING                   TimeBodyGyroscopicStdDevX -0.47354
       1            WALKING                   TimeBodyGyroscopicStdDevY -0.05461
       1            WALKING                   TimeBodyGyroscopicStdDevZ -0.34427
       1            WALKING                 TimeBodyGyroscopicJerkMeanX -0.09000
       1            WALKING                 TimeBodyGyroscopicJerkMeanY -0.03984
       1            WALKING                 TimeBodyGyroscopicJerkMeanZ -0.04613
       1            WALKING               TimeBodyGyroscopicJerkStdDevX -0.20742
       1            WALKING               TimeBodyGyroscopicJerkStdDevY -0.30447
       1            WALKING               TimeBodyGyroscopicJerkStdDevZ -0.40426
       1            WALKING            TimeBodyAccelartionMagnitudeMean -0.13697
       1            WALKING          TimeBodyAccelartionMagnitudeStdDev -0.21969
       1            WALKING         TimeGravityAccelartionMagnitudeMean -0.13697
       1            WALKING       TimeGravityAccelartionMagnitudeStdDev -0.21969
       1            WALKING        TimeBodyAccelartionJerkMagnitudeMean -0.14143
       1            WALKING      TimeBodyAccelartionJerkMagnitudeStdDev -0.07447
       1            WALKING             TimeBodyGyroscopicMagnitudeMean -0.16098
       1            WALKING           TimeBodyGyroscopicMagnitudeStdDev -0.18698
       1            WALKING         TimeBodyGyroscopicJerkMagnitudeMean -0.29870
       1            WALKING       TimeBodyGyroscopicJerkMagnitudeStdDev -0.32532
       1            WALKING               FrequencyBodyAccelartionMeanX -0.20279
       1            WALKING               FrequencyBodyAccelartionMeanY  0.08971
       1            WALKING               FrequencyBodyAccelartionMeanZ -0.33156
       1            WALKING             FrequencyBodyAccelartionStdDevX -0.31913
       1            WALKING             FrequencyBodyAccelartionStdDevY  0.05604
       1            WALKING             FrequencyBodyAccelartionStdDevZ -0.27969
       1            WALKING           FrequencyBodyAccelartionJerkMeanX -0.17055
       1            WALKING           FrequencyBodyAccelartionJerkMeanY -0.03523
       1            WALKING           FrequencyBodyAccelartionJerkMeanZ -0.46900
       1            WALKING         FrequencyBodyAccelartionJerkStdDevX -0.13359
       1            WALKING         FrequencyBodyAccelartionJerkStdDevY  0.10674
       1            WALKING         FrequencyBodyAccelartionJerkStdDevZ -0.53471
       1            WALKING                FrequencyBodyGyroscopicMeanX -0.33903
       1            WALKING                FrequencyBodyGyroscopicMeanY -0.10306
       1            WALKING                FrequencyBodyGyroscopicMeanZ -0.25594
       1            WALKING              FrequencyBodyGyroscopicStdDevX -0.51669
       1            WALKING              FrequencyBodyGyroscopicStdDevY -0.03351
       1            WALKING              FrequencyBodyGyroscopicStdDevZ -0.43656
       1            WALKING       FrequencyBodyAccelartionMagnitudeMean -0.12862
       1            WALKING     FrequencyBodyAccelartionMagnitudeStdDev -0.39803
       1            WALKING   FrequencyBodyAccelartionJerkMagnitudeMean -0.05712
       1            WALKING FrequencyBodyAccelartionJerkMagnitudeStdDev -0.10349
       1            WALKING        FrequencyBodyGyroscopicMagnitudeMean -0.19925
       1            WALKING      FrequencyBodyGyroscopicMagnitudeStdDev -0.32102
       1            WALKING    FrequencyBodyGyroscopicJerkMagnitudeMean -0.31931
       1            WALKING  FrequencyBodyGyroscopicJerkMagnitudeStdDev -0.38160
       1   WALKING_UPSTAIRS                    TimeBodyAccelartionMeanX  0.25546
       1   WALKING_UPSTAIRS                    TimeBodyAccelartionMeanY -0.02395
       1   WALKING_UPSTAIRS                    TimeBodyAccelartionMeanZ -0.09730
       1   WALKING_UPSTAIRS                  TimeBodyAccelartionStdDevX -0.35471
       1   WALKING_UPSTAIRS                  TimeBodyAccelartionStdDevY -0.00232
       1   WALKING_UPSTAIRS                  TimeBodyAccelartionStdDevZ -0.01948
       1   WALKING_UPSTAIRS                 TimeGravityAccelartionMeanX  0.89335
       1   WALKING_UPSTAIRS                 TimeGravityAccelartionMeanY -0.36215
       1   WALKING_UPSTAIRS                 TimeGravityAccelartionMeanZ -0.07540
       1   WALKING_UPSTAIRS               TimeGravityAccelartionStdDevX -0.95637
